DutyType,Source,SerialNumber,Year,Make,Model,SalesPrice,SaleDate,Location,AuctionCompany,Mileage,Condition,Hours,PumpMeters,Notes,Category1,Category2,Category3,Category4,StockNumber,SeparatorHours,Horsepower,Drive,Width,Spacing,Rows,Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,NAD3612,2005,CATERPILLAR,304CR,22500,3/20/2018 12:00:00 AM,"SACRAMENTO, CA",RITCHIE BROS. AUCTIONEERS INTL,,,1408,,"MIDI, Q/C BKT W/HYD THUMB, 4'6 STICK", SWING AWAY BOOM, BLADE, CANOPY,1,"408 HRS. """"IDI", Q/C BKT W/HYD THUMB," 4'6"" STICK"," SWING AWAY BO""""DI"," Q/C BKT W/HYD THU""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,CJ2556,2015,CATERPILLAR,304E2CR,35000,6/13/2017 12:00:00 AM,"ATLANTA, GA",RITCHIE BROS. AUCTIONEERS INTL,,,454,,"MIDI, BKT, 5'4 STICK", SWING AWAY BOOM, AUX HYD, BLADE, CANOPY, RUBBER TRACKS," 454 HRS. """"IDI", BKT," 5'4"" STICK", SWING AWAY BOOM, AUX HYD, BLADE, CANOPY," RUBBER TRA""""DI", BKT," 5'4"" STICK", SWING AWAY BOOM, AUX HYD, BLADE," CANOP""""I", BKT," 5'4"" STICK", SWING AWAY BOOM, AUX HYD," """"", BKT," 5'4"" STICK"," SWING AWAY BOOM"""" BKT"," 5'4"" STICK"," SWING""""BKT"," 5'4"" STI""""KT"," """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,TTN958,2013,CATERPILLAR,304ECR,34000,12/28/2017 12:00:00 AM,"PLEASANTON, CA",IRONPLANET,,,1427,,"MINI, ENC CAB W/HEAT & AIR, 18? BKT W/TEETH, HYD COUPLER, 5'3 STICK", AUX HYD PLUMBING, THUMB BRACKET, BACKFILL BLADE," 14"" TRACK BELTS", RUBBER PADS, ULTRA LOW SULFUR DSL,1,"427 HRS. """"INI", ENC CAB W/HEAT & AIR, 18? BKT W/TEETH, HYD COUPLER," 5'3"" STICK", AUX HYD PLUMBING, THUMB BRACKET, BACKFILL BLADE," 14""""NI", ENC CAB W/HEAT & AIR, 18? BKT W/TEETH, HYD COUPLER," 5'3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,TTN2213,2014,CATERPILLAR,304ECR,33000,12/28/2017 12:00:00 AM,"PLEASANTON, CA",IRONPLANET,,,1203,,"MINI, ENC CAB W/HEAT & AIR, 24? BKT W/TEETH, HYD COUPLER, 64 STICK", AUX HYD PLUMBING, CONTROL PATTERN CHANGER," 14"" TRACK BELTS", ULTRA LOW SULFUR DSL,1,"203 HRS. """"INI", ENC CAB W/HEAT & AIR, 24? BKT W/TEETH, HYD COUPLER," 64"" STICK", AUX HYD PLUMBING," CONTROL PATTERN""""NI", ENC CAB W/HEAT & AIR," 24? BKT W/TEETH""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,TTN2214,2014,CATERPILLAR,304ECR,34000,12/28/2017 12:00:00 AM,"PLEASANTON, CA",IRONPLANET,,,1508,,"MINI, ENC CAB W/HEAT & AIR, 16? BKT W/TEETH, HYD COUPLER, SWING BOOM, 5'3? STICK, AUX HYD PLUMBING, CONTROL PATTERN CHANGER, BACKFILL BLADE, 14 TRACK BELTS",1,"508 HRS. """"INI"," ENC CAB W/HEAT & AIR""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,TTN2800,2014,CATERPILLAR,304ECR,32500,3/23/2018 12:00:00 AM,"PENDLETON, IN","DON SMOCK AUCTION CO., INC.",,,387,,"MINI, DSL, CANOPY, LEVELING BLADE, 2 AUX HYD HOOKUPS, Q/C, 12"," 18"" & 24"" BKTS"," 387 HRS. """"INI", DSL, CANOPY," LEVELING """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,TTN837,2013,CATERPILLAR,304ECR,29000,3/27/2018 12:00:00 AM,"NORTH EAST, MD",RITCHIE BROS. AUCTIONEERS INTL,,,2670,,"MIDI, BKT, 5'3 STICK", SWING AWAY BOOM, AUX HYD, BLADE, CAB W/AIR,2,"670 HRS. """"IDI", BKT," 5'3"" STICK", SWING AWAY BOOM, AUX HYD, BLADE," CAB W/AI""""DI", BKT," 5'3"" STICK", SWING AWAY BOOM, AUX HYD," BL""""I", BKT," 5'3"" STICK", SWING AWAY BOOM,, BKT," 5'3"" STICK"," SWING"""" BKT"," 5'3"" ST""""BKT""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,TTN1185,2013,CATERPILLAR,304ECR,27500,3/30/2018 12:00:00 AM,"ATLANTA, GA",RITCHIE BROS. AUCTIONEERS INTL,,,1566,,"MINI, BKT, 5'4 STICK", AUX HYD, BLADE, CANOPY, RUBBER TRACKS,1,"566 HRS. """"INI", BKT," 5'4"" STICK", AUX HYD, BLADE, CANOPY," RUBBER TRACK""""NI", BKT," 5'4"" STICK", AUX HYD, BLADE, CANOPY,I, BKT," 5'4"" STICK", AUX HYD," BL""""", BKT," 5'4"" STICK"," """" BKT"," 5'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,FKY3085,2014,CATERPILLAR,305.5ECR,54000,6/28/2017 12:00:00 AM,"PLEASANTON, CA",IRONPLANET,,,1295,,"MINI, ENC CAB W/HEAT & AIR, 22 BKT W/TEETH", MANUAL COUPLER, SWING BOOM, 6' STICK, CONTROL PATTERN CHANGER, HYD THUMB, BACKFILL BLADE," 16"" TRACK BELTS",1,"295 HRS. """"INI", ENC CAB W/HEAT & AIR," 22"" BKT W/TEETH", MANUAL COUPLER, SWING BOOM, 6' STICK, CONTROL PATTERN CHANGER, HYD THUMB," BACKFILL BLADE""""NI", ENC CAB W/HEAT & AIR," 22"" BKT W/TEETH", MANUAL COUPLER, SWING BOOM, 6' STICK," CONTROL PATTERN CHANG""""I", ENC CAB W/HEAT & AIR," 22"" BKT W/TEETH", MANUAL COUPLER, SWING BOOM," 6' """"", ENC CAB W/HEAT & AIR," 22"" BKT W/TEETH"," MANU"""" ENC CAB W/HEAT & """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,FKY1024,2012,CATERPILLAR,305.5ECR,28500,12/14/2017 12:00:00 AM,"TUSCALOOSA, AL",JOEY MARTIN AUCTIONEERS,,,2393,,"MINI, CAB W/HEAT, AUX HYDS, COUPLER, PUSH BLADE, RUBBER TRACKS, 16 BKT",2,"393 HRS. """"INI", CAB W/HEAT," """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
