,yearmonths,nyearmonths
0,1996/12/05,1
1,1997/03/13,1
2,1997/04/10,3
3,1997/04/24,3
4,1997/08/21,1
5,1997/12/11,2
6,1998/08/27,3
7,1998/12/10,1
8,2000/01/27,2
9,2000/02/24,1
10,2000/06/15,4
11,2000/08/03,6
12,2000/09/28,2
13,2000/12/14,1
14,2001/04/05,1
15,2001/04/26,1
16,2001/05/24,5
17,2001/06/14,37
18,2001/06/21,21
19,2001/06/22,13
20,2001/06/28,78
21,2001/07/12,16
22,2001/07/19,31
23,2001/07/26,63
24,2001/08/09,21
25,2001/08/23,31
26,2001/08/30,26
27,2001/09/20,48
28,2001/09/27,35
29,2001/10/01,64
30,2001/10/11,28
31,2001/10/18,25
32,2001/10/25,71
33,2001/11/01,34
34,2001/11/27,11
35,2001/11/29,53
36,2001/12/06,134
37,2001/12/13,38
38,2001/12/20,44
39,2002/01/24,30
40,2002/01/31,15
41,2002/02/14,38
42,2002/02/21,46
43,2002/02/28,26
44,2002/03/05,33
45,2002/03/07,38
46,2002/03/12,6
47,2002/03/21,30
48,2002/04/18,7
49,2002/04/25,29
50,2002/05/02,75
51,2002/05/09,10
52,2002/05/23,24
53,2002/06/11,11
54,2002/06/13,55
55,2002/06/20,26
56,2002/07/11,58
57,2002/07/18,26
58,2002/07/25,28
59,2002/07/30,1
60,2002/08/01,40
61,2002/08/22,11
62,2002/08/29,47
63,2002/09/12,100
64,2002/09/26,53
65,2002/10/10,27
66,2002/10/17,14
67,2002/10/31,80
68,2002/11/14,12
69,2002/11/21,14
70,2002/12/05,6
71,2002/12/12,11
72,2002/12/19,53
73,2003/01/23,56
74,2003/02/04,10
75,2003/02/14,3
76,2003/02/20,10
77,2003/02/27,15
78,2003/03/06,43
79,2003/03/13,67
80,2003/03/20,31
81,2003/03/27,22
82,2003/04/03,8
83,2003/04/16,39
84,2003/04/24,18
85,2003/05/08,56
86,2003/05/15,35
87,2003/05/22,12
88,2003/06/12,14
89,2003/06/19,27
90,2003/06/26,22
91,2003/07/02,34
92,2003/07/17,15
93,2003/08/14,1
94,2003/08/21,42
95,2003/08/26,1
96,2003/08/28,25
97,2003/09/11,55
98,2003/09/25,22
99,2003/10/09,3
100,2003/10/16,2
101,2003/10/23,30
102,2003/10/30,14
103,2003/11/06,31
104,2003/11/20,23
105,2003/12/04,8
106,2003/12/11,16
107,2003/12/18,37
108,2004/01/22,10
109,2004/01/29,10
110,2004/02/12,23
111,2004/02/19,10
112,2004/02/26,17
113,2004/03/04,31
114,2004/03/11,23
115,2004/03/18,35
116,2004/03/23,4
117,2004/04/08,8
118,2004/04/22,16
119,2004/04/29,10
120,2004/05/06,8
121,2004/05/13,50
122,2004/05/20,12
123,2004/06/10,35
124,2004/06/17,18
125,2004/06/22,14
126,2004/06/24,21
127,2004/07/01,15
128,2004/07/15,36
129,2004/08/05,25
130,2004/08/19,20
131,2004/08/26,39
132,2004/09/01,25
133,2004/09/16,52
134,2004/09/23,66
135,2004/10/21,29
136,2004/10/28,50
137,2004/11/04,24
138,2004/11/11,23
139,2004/11/18,54
140,2004/12/02,17
141,2004/12/09,40
142,2004/12/16,16
143,2005/01/13,30
144,2005/01/20,91
145,2005/01/27,46
146,2005/02/10,25
147,2005/02/17,1
148,2005/02/24,38
149,2005/03/03,15
150,2005/03/10,37
151,2005/03/17,16
152,2005/03/31,63
153,2005/04/07,69
154,2005/04/14,72
155,2005/04/28,20
156,2005/05/11,23
157,2005/05/19,22
158,2005/05/26,58
159,2005/06/16,36
160,2005/06/23,27
161,2005/07/14,51
162,2005/07/21,51
163,2005/07/28,32
164,2005/08/11,51
165,2005/08/18,24
166,2005/09/01,25
167,2005/09/15,72
168,2005/09/22,28
169,2005/09/29,12
170,2005/10/13,36
171,2005/10/27,40
172,2005/11/03,44
173,2005/11/10,36
174,2005/11/17,31
175,2005/12/01,38
176,2005/12/08,27
177,2005/12/15,27
178,2006/01/26,57
179,2006/02/02,27
180,2006/02/09,3
181,2006/02/16,24
182,2006/02/23,40
183,2006/03/02,14
184,2006/03/09,42
185,2006/03/23,52
186,2006/03/30,26
187,2006/04/20,38
188,2006/04/27,62
189,2006/05/11,58
190,2006/05/17,33
191,2006/05/25,20
192,2006/06/15,30
193,2006/06/22,23
194,2006/06/29,13
195,2006/07/13,58
196,2006/07/20,28
197,2006/08/17,86
198,2006/08/24,14
199,2006/08/31,37
200,2006/09/14,77
201,2006/09/21,4
202,2006/09/28,44
203,2006/10/05,8
204,2006/10/12,35
205,2006/10/19,13
206,2006/11/02,14
207,2006/11/09,31
208,2006/11/16,33
209,2006/11/30,5
210,2006/12/07,32
211,2006/12/14,35
212,2007/01/18,29
213,2007/01/25,17
214,2007/02/01,26
215,2007/02/15,3
216,2007/02/22,12
217,2007/03/01,10
218,2007/03/08,29
219,2007/03/15,36
220,2007/03/20,21
221,2007/03/22,39
222,2007/03/27,3
223,2007/03/29,19
224,2007/04/19,18
225,2007/04/26,35
226,2007/05/03,37
227,2007/05/10,42
228,2007/06/14,37
229,2007/06/21,66
230,2007/06/28,34
231,2007/07/12,67
232,2007/07/19,47
233,2007/07/26,49
234,2007/08/02,30
235,2007/08/16,26
236,2007/09/13,62
237,2007/09/20,22
238,2007/09/27,31
239,2007/10/18,9
240,2007/10/23,39
241,2007/10/25,19
242,2007/11/01,20
243,2007/11/08,25
244,2007/11/15,31
245,2007/12/06,44
246,2007/12/13,24
247,2008/01/17,26
248,2008/01/31,5
