,SaleDate,SalesPrice,YearMonth
0,2013-01-17,6332.0,2013/01/17
1,2012-12-20,37382.0,2012/12/20
2,2007-06-21,50432.0,2007/06/21
3,2008-03-20,45932.0,2008/03/20
4,2010-02-25,33332.0,2010/02/25
5,2010-03-25,33332.0,2010/03/25
6,2011-04-28,33332.0,2011/04/28
7,2008-03-20,34232.0,2008/03/20
8,2008-08-05,33332.0,2008/08/05
9,2009-09-17,28832.0,2009/09/17
10,2019-06-27,19832.0,2019/06/27
11,2019-06-25,86432.0,2019/06/25
12,2019-06-25,79232.0,2019/06/25
13,2019-06-25,79232.0,2019/06/25
14,2019-06-25,79232.0,2019/06/25
15,2019-06-25,79232.0,2019/06/25
16,2019-06-25,79232.0,2019/06/25
17,2019-06-25,54032.0,2019/06/25
18,2019-06-25,54032.0,2019/06/25
19,2019-06-25,54032.0,2019/06/25
20,2019-06-25,54032.0,2019/06/25
21,2019-06-25,54032.0,2019/06/25
22,2019-06-25,50432.0,2019/06/25
23,2019-06-25,50432.0,2019/06/25
24,2019-06-25,50432.0,2019/06/25
25,2019-06-25,50432.0,2019/06/25
26,2019-06-25,41432.0,2019/06/25
27,2019-06-25,41432.0,2019/06/25
28,2019-06-25,34232.0,2019/06/25
29,2019-06-25,34232.0,2019/06/25
30,2019-06-25,34232.0,2019/06/25
31,2019-06-25,34232.0,2019/06/25
32,2019-06-25,34232.0,2019/06/25
33,2019-06-25,21632.0,2019/06/25
34,2019-06-27,63032.0,2019/06/27
35,2019-06-27,30632.0,2019/06/27
36,2019-06-27,29732.0,2019/06/27
37,2019-06-27,28832.0,2019/06/27
38,2019-06-27,27482.0,2019/06/27
39,2019-06-27,27032.0,2019/06/27
40,2019-06-27,27032.0,2019/06/27
41,2019-06-27,27032.0,2019/06/27
42,2019-06-27,27032.0,2019/06/27
43,2019-06-27,27032.0,2019/06/27
44,2019-06-27,26132.0,2019/06/27
45,2019-06-27,25682.0,2019/06/27
46,2019-06-27,25232.0,2019/06/27
47,2019-06-27,25232.0,2019/06/27
48,2019-06-27,25232.0,2019/06/27
49,2019-06-27,25232.0,2019/06/27
50,2019-06-27,25232.0,2019/06/27
51,2019-06-27,25232.0,2019/06/27
52,2019-06-27,25232.0,2019/06/27
53,2019-06-27,25232.0,2019/06/27
54,2019-06-27,25232.0,2019/06/27
55,2019-06-27,25232.0,2019/06/27
56,2019-06-27,25232.0,2019/06/27
57,2019-06-27,25232.0,2019/06/27
58,2019-06-27,24782.0,2019/06/27
59,2019-06-27,24332.0,2019/06/27
60,2019-06-27,24332.0,2019/06/27
61,2019-06-27,24332.0,2019/06/27
62,2019-06-27,24332.0,2019/06/27
63,2019-06-27,23432.0,2019/06/27
64,2019-06-27,23432.0,2019/06/27
65,2019-06-27,23432.0,2019/06/27
66,2019-06-27,22982.0,2019/06/27
67,2019-06-27,20732.0,2019/06/27
68,2019-06-27,19832.0,2019/06/27
69,2019-06-27,19832.0,2019/06/27
70,2019-06-27,19382.0,2019/06/27
71,2019-06-27,63032.0,2019/06/27
72,2019-06-27,63032.0,2019/06/27
73,2019-06-27,54932.0,2019/06/27
74,2019-06-27,45932.0,2019/06/27
75,2019-06-27,37832.0,2019/06/27
76,2019-06-27,52232.0,2019/06/27
77,2019-06-27,40982.0,2019/06/27
78,2019-06-27,40532.0,2019/06/27
79,2019-06-27,40532.0,2019/06/27
80,2019-06-27,55382.0,2019/06/27
81,2019-06-27,50432.0,2019/06/27
82,2019-06-27,50432.0,2019/06/27
83,2019-06-27,49532.0,2019/06/27
84,2019-06-27,49082.0,2019/06/27
85,2019-06-27,43232.0,2019/06/27
86,2019-06-27,39632.0,2019/06/27
87,2019-06-27,39632.0,2019/06/27
88,2019-06-27,39632.0,2019/06/27
89,2019-06-27,39632.0,2019/06/27
90,2019-06-27,34232.0,2019/06/27
91,2019-06-27,30632.0,2019/06/27
92,2019-06-27,29732.0,2019/06/27
93,2019-06-27,28832.0,2019/06/27
94,2019-06-27,26132.0,2019/06/27
