,SaleDate
2282,2003-08-28
2283,2006-03-09
2287,2002-09-12
2290,2001-12-06
2291,2004-06-24
2318,2005-04-07
2321,2001-10-18
2322,2001-06-28
2323,2001-10-18
2324,2001-10-18
2325,2001-08-23
5844,2013-02-14
6821,2011-03-24
6822,2011-03-24
6823,2006-11-16
6824,2008-06-19
6833,2010-07-15
6839,2009-06-18
6849,2008-02-14
6863,2011-02-03
6870,2008-11-06
6871,2008-12-04
6883,2008-10-30
6890,2007-12-13
6895,2008-05-08
6907,2008-02-28
6908,2009-01-29
6909,2009-04-02
6918,2008-01-17
6923,2009-07-23
6930,2010-07-15
6934,2010-08-12
6935,2010-09-16
6936,2010-08-12
6937,2010-08-12
6941,2009-06-25
6949,2009-02-12
6981,2008-05-01
6986,2010-08-12
6988,2011-05-05
7645,2011-04-07
7651,2008-09-18
7653,2008-05-08
7669,2012-08-02
15153,2012-02-23
18711,2009-02-12
18712,2009-02-12
18713,2008-07-24
18719,2009-06-11
18720,2009-06-18
18722,2009-10-27
18723,2009-12-17
18725,2009-12-03
18727,2010-02-18
18728,2010-06-17
18729,2010-05-20
18733,2008-06-26
18746,2010-02-11
18747,2009-11-05
18757,2009-10-27
18758,2009-10-27
18759,2009-10-27
18764,2009-10-27
18784,2009-10-27
18785,2009-10-27
18796,2008-07-31
18798,2009-10-27
18799,2009-10-27
18809,2010-04-01
18815,2009-10-29
18824,2009-09-17
18842,2009-10-29
18843,2009-10-29
18844,2009-10-29
18845,2009-10-29
18851,2009-07-16
18855,2011-03-10
18874,2010-02-25
22914,2003-05-22
22917,2005-07-28
22918,2003-07-02
22919,2004-02-26
22920,2005-01-20
22925,2004-08-26
22931,2004-09-23
22935,2005-03-10
22940,2007-01-25
22941,2006-05-11
22946,2005-05-11
22947,2005-10-27
22950,2004-10-28
22951,2004-09-23
22955,2004-08-26
22957,2004-08-05
22961,2005-05-26
22968,2004-03-04
22972,2003-12-11
22973,2004-05-13
22974,2003-03-06
22995,2004-10-28
22998,2006-06-22
23004,2006-02-02
23007,2005-04-14
23009,2006-02-02
23016,2007-09-13
23019,2006-02-23
23020,2006-08-24
23024,2007-09-13
23025,2007-01-25
23026,2007-01-25
