,SaleDate,SalesPrice,YearMonth
0,2019-07-18,13532.0,2019
1,2019-07-18,10832.0,2019
2,2017-02-02,16232.0,2017
3,2019-07-25,22532.0,2019
4,2017-03-23,13532.0,2017
5,2017-03-30,13082.0,2017
6,2017-03-16,13982.0,2017
7,2017-03-16,16232.0,2017
8,2017-03-16,14432.0,2017
9,2017-03-16,12182.0,2017
10,2017-02-23,19382.0,2017
11,2017-03-09,12632.0,2017
12,2017-03-09,37382.0,2017
13,2017-03-09,25232.0,2017
14,2017-03-09,10832.0,2017
15,2017-01-26,13532.0,2017
16,2017-01-26,21632.0,2017
17,2017-01-19,9932.0,2017
18,2017-01-19,9482.0,2017
19,2017-01-19,8582.0,2017
20,2016-11-03,11282.0,2016
21,2016-10-20,10832.0,2016
22,2016-12-08,13982.0,2016
23,2016-10-27,13532.0,2016
24,2017-02-23,12632.0,2017
25,2017-02-23,12632.0,2017
26,2016-08-11,13082.0,2016
27,2016-08-11,10382.0,2016
28,2016-08-11,38732.0,2016
29,2016-08-11,37832.0,2016
30,2016-08-11,37832.0,2016
31,2016-12-01,18032.0,2016
32,2016-11-17,30182.0,2016
33,2016-11-17,29282.0,2016
34,2016-11-17,15332.0,2016
35,2016-11-10,15332.0,2016
36,2016-11-10,19832.0,2016
37,2016-11-10,10832.0,2016
38,2016-07-21,26582.0,2016
39,2016-07-21,26582.0,2016
40,2016-07-21,20732.0,2016
41,2016-07-21,19832.0,2016
42,2016-07-28,18932.0,2016
43,2016-07-28,13532.0,2016
44,2016-07-14,36032.0,2016
45,2016-07-14,16232.0,2016
46,2016-09-22,23432.0,2016
47,2016-09-22,10832.0,2016
48,2016-12-01,23432.0,2016
49,2016-12-15,14432.0,2016
50,2016-12-15,12182.0,2016
51,2016-12-15,12632.0,2016
52,2016-12-15,21632.0,2016
53,2016-12-15,13982.0,2016
54,2017-04-13,18932.0,2017
55,2017-03-23,34682.0,2017
56,2017-04-13,12632.0,2017
57,2016-09-01,24332.0,2016
58,2016-09-22,17582.0,2016
59,2016-09-15,18032.0,2016
60,2016-10-13,22082.0,2016
61,2016-09-01,26582.0,2016
